Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alexander Molly Q.S.;Blais Marguerite P.L.Q./Q.L.P.;Boulanger Louis-Philippe C.A.Q.-É.F.L.;Forest Étienne O.N. - P.I.Q.;Fournier Véronique P.Q.;Kruzynski Anna P.N.;Sanchez Jairo Gaston B.P.;Sweeney Sharon P.V.Q./G.P.Q.;B.V.;B.R.;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;103;;139;312;9;107;27;1;28;0;0;2;174;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;140;323;17;72;32;0;36;1;2;7;167;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;141A;276;13;77;18;2;17;0;2;4;133;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;141B;203;2;36;6;0;12;2;1;2;61;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;142;352;19;64;27;1;49;0;1;2;163;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;143;307;22;89;20;1;33;1;0;1;167;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;144;364;22;69;15;1;34;1;1;1;144;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;145;333;23;78;25;1;33;1;1;0;162;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;146;333;20;69;27;3;29;1;1;8;158;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;147;411;14;106;17;1;38;2;3;9;190;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;104;;148;321;18;82;32;2;45;3;1;2;185;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;105;;149;312;32;89;14;0;35;2;1;4;177;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;105;;150;293;18;71;9;4;35;1;1;3;142;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;105;;151;318;20;61;33;2;46;0;1;4;167;3;
