Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bissonnette Marc B.P.;Breton Daniel P.Q.;Klisko Anna P.L.Q./Q.L.P.;Lachapelle Serge P.M.L.Q.;Massé Manon Q.S.;Payne Nic O.N. - P.I.Q.;Thauvette Patrick C.A.Q.-É.F.L.;Wiseman Stewart P.V.Q./G.P.Q.;B.V.;B.R.;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;88;301;2;14;70;0;65;0;6;4;161;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;89;323;1;28;76;0;78;0;19;6;208;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;90;292;0;27;71;0;38;0;16;3;155;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;91;308;1;31;60;0;66;1;10;1;170;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;92;315;2;24;82;1;47;4;14;2;176;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;93;301;0;40;70;0;33;0;6;2;151;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;94;277;1;28;56;1;21;1;17;5;130;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;169;;95;341;1;19;86;0;31;1;4;1;143;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;96;316;0;36;65;0;53;0;10;2;166;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;97;330;0;43;65;0;36;0;17;1;162;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;98;300;3;25;50;0;41;2;11;4;136;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;99;308;2;41;28;0;68;4;14;2;159;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;100;317;0;47;31;2;51;6;12;2;151;6;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;101;283;2;31;34;0;46;0;8;1;122;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;102;284;1;34;53;0;27;1;8;5;129;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;103;332;0;49;36;0;60;1;13;2;161;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;104;323;0;24;38;0;40;5;13;2;122;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;170;;105;377;1;49;63;0;42;0;17;6;178;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;106;170;2;19;22;0;34;0;6;1;84;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;107;331;0;5;4;0;3;0;2;1;15;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;108;281;0;8;7;0;1;0;1;0;17;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;109;321;0;24;50;0;9;0;9;3;95;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;110;300;2;16;103;1;14;0;12;0;148;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;111;276;0;21;77;0;12;0;5;2;117;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;112;293;0;3;112;0;15;0;3;1;134;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;171;;113;269;2;12;87;0;18;0;6;1;126;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;114;271;2;32;47;0;34;2;6;1;124;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;115;295;1;36;35;0;55;1;10;0;138;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;116;280;2;32;25;0;60;1;14;5;139;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;117;292;2;54;26;0;66;0;18;1;167;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;118;321;2;48;45;0;59;0;19;1;174;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;119;312;0;50;52;0;29;1;16;2;150;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;120;305;0;37;73;0;51;0;20;2;183;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;121A;192;0;21;61;0;13;0;14;0;109;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;121B;318;0;49;61;0;30;0;19;2;161;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;122;371;1;18;123;0;25;0;22;1;190;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;123;276;0;32;59;0;27;0;24;2;144;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;124;251;0;40;38;0;33;0;11;0;122;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;172;;125;492;3;40;35;0;39;2;29;3;151;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;173;;126;447;0;21;39;0;17;0;12;2;91;2;
