Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Colangelo Lauzon Mikey É.A.P. - P.C.Q.;Corriveau Robert P.L.Q./Q.L.P.;Hivon Véronique P.Q.;Larouche Denise C.A.Q.-É.F.L.;Legault Sylvain O.N. - P.I.Q.;Trudel Flavie Q.S.;B.V.;B.R.;
361;Joliette;2014-04-07;G;Joliette, v;5;;106;375;0;33;74;38;0;14;159;1;
361;Joliette;2014-04-07;G;Joliette, v;5;;107;368;2;29;65;34;2;9;141;5;
361;Joliette;2014-04-07;G;Joliette, v;5;;108;378;1;45;87;55;2;10;200;1;
361;Joliette;2014-04-07;G;Joliette, v;5;;109;388;1;27;88;84;2;13;215;0;
361;Joliette;2014-04-07;G;Joliette, v;5;;110;355;3;21;78;69;1;15;187;4;
361;Joliette;2014-04-07;G;Joliette, v;5;;111A;210;0;20;35;37;1;5;98;4;
361;Joliette;2014-04-07;G;Joliette, v;5;;111B;239;0;12;44;44;3;11;114;1;
361;Joliette;2014-04-07;G;Joliette, v;5;;112A;275;0;26;56;54;0;7;143;1;
361;Joliette;2014-04-07;G;Joliette, v;5;;112B;398;0;24;63;72;4;15;178;3;
361;Joliette;2014-04-07;G;Joliette, v;5;;113;390;0;31;79;52;3;16;181;4;
361;Joliette;2014-04-07;G;Joliette, v;6;;114;293;1;24;98;49;1;13;186;4;
361;Joliette;2014-04-07;G;Joliette, v;6;;115;348;0;44;82;50;1;24;201;6;
361;Joliette;2014-04-07;G;Joliette, v;6;;116;294;1;33;47;53;2;22;158;5;
361;Joliette;2014-04-07;G;Joliette, v;6;;117;324;0;27;71;29;1;17;145;7;
361;Joliette;2014-04-07;G;Joliette, v;7;;118;319;0;35;47;21;5;9;117;3;
361;Joliette;2014-04-07;G;Joliette, v;7;Regr. BVO-120;119;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Joliette, v;7;;120;435;0;24;75;51;1;27;178;4;
361;Joliette;2014-04-07;G;Joliette, v;7;;121;378;2;34;95;54;4;19;208;3;
361;Joliette;2014-04-07;G;Joliette, v;7;;122;327;0;28;64;49;3;15;159;3;
361;Joliette;2014-04-07;G;Joliette, v;7;;123;352;4;19;35;23;2;12;95;5;
361;Joliette;2014-04-07;G;Joliette, v;7;;124;324;0;35;90;40;4;13;182;4;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;125;355;1;22;80;60;1;13;177;5;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;126A;219;1;23;51;35;1;11;122;2;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;126B;227;2;31;45;26;1;7;112;5;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;127;355;0;43;94;86;3;15;241;1;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;128;355;0;41;78;88;1;8;216;5;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;129;332;1;29;68;60;3;15;176;1;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;130;319;3;43;75;53;2;9;185;4;
361;Joliette;2014-04-07;G;Saint-Thomas, m;1;;131;352;0;37;75;64;1;4;181;4;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;132;341;1;34;74;54;3;8;174;2;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;133;342;1;15;45;62;2;9;134;4;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;134A;259;1;11;32;63;1;12;120;4;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;134B;263;0;20;63;57;2;9;151;1;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;135A;263;1;19;56;54;0;8;138;5;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;135B;203;0;10;41;41;1;8;101;3;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;136A;238;0;13;56;41;1;13;124;1;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;136B;240;2;18;43;47;1;6;117;2;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;137;325;0;14;70;59;3;11;157;3;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;138;352;2;25;63;56;0;18;164;4;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;139;398;2;22;78;62;3;15;182;8;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;140;360;2;27;76;59;1;21;186;2;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;141;391;3;28;105;64;3;25;228;3;
361;Joliette;2014-04-07;G;Saint-Paul, m;1;;142;359;1;18;93;69;5;8;194;0;
361;Joliette;2014-04-07;G;Crabtree, m;1;;143;367;2;23;79;76;6;11;197;7;
361;Joliette;2014-04-07;G;Crabtree, m;1;;144;391;0;36;84;75;2;23;220;5;
361;Joliette;2014-04-07;G;Crabtree, m;1;;145;378;2;26;97;64;2;20;211;11;
