Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;D'Amour Jean P.L.Q./Q.L.P.;Gagnon Louis Q.S.;Lagacé Michel P.Q.;Malenfant Frank P.S.P.;Massé Étienne O.N. - P.I.Q.;Roy Charles C.A.Q.-É.F.L.;B.V.;B.R.;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Lejeune, m;1;;108;244;69;18;24;2;2;25;140;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Auclair, m;1;;109;348;78;17;55;2;1;26;179;8;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Dégelis, v;1;;110;358;90;8;37;3;1;31;170;7;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Dégelis, v;1;;111;359;111;11;44;0;1;40;207;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Dégelis, v;1;;112;336;70;9;45;0;2;19;145;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Dégelis, v;1;;113;330;85;4;30;1;0;28;148;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Dégelis, v;1;;114;330;73;14;32;1;0;27;147;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Dégelis, v;1;;115;376;76;6;37;2;0;41;162;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Dégelis, v;1;;116;339;70;5;44;0;1;33;153;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Juste-du-Lac, m;1;;117;240;69;9;31;0;0;22;131;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Juste-du-Lac, m;1;;118;231;38;8;39;5;0;45;135;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Michel-du-Squatec, p;1;;119;321;76;3;37;0;1;21;138;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Michel-du-Squatec, p;1;;120;352;111;9;42;1;0;23;186;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Michel-du-Squatec, p;1;;121;317;73;4;40;1;1;18;137;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Cyprien, m;1;;122;278;67;15;99;0;2;14;197;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Cyprien, m;1;;123;286;87;5;84;1;0;23;200;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Cyprien, m;1;;124;262;64;10;83;1;0;23;181;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Pierre-de-Lamy, m;1;;125;96;46;2;10;2;0;6;66;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Hubert-de-Rivière-du-Loup, m;1;;126;326;119;2;32;8;2;25;188;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Hubert-de-Rivière-du-Loup, m;1;;127;324;138;8;43;8;2;20;219;7;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Hubert-de-Rivière-du-Loup, m;1;;128;352;122;11;26;9;1;32;201;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Honoré-de-Témiscouata, m;1;;129;309;115;6;41;2;3;38;205;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Honoré-de-Témiscouata, m;1;;130;291;95;10;39;2;3;39;188;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Louis-du-Ha! Ha!, p;1;;131;342;107;7;55;3;5;38;215;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Louis-du-Ha! Ha!, p;1;;132;357;89;9;39;0;9;41;187;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Louis-du-Ha! Ha!, p;1;;133;347;67;11;43;0;1;28;150;7;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;134;297;59;7;42;2;2;32;144;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;135;315;88;4;50;1;2;28;173;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;136;309;71;6;28;3;3;33;144;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Témiscouata-sur-le-Lac, v;1;;137;381;60;14;35;0;1;30;140;2;
