Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard René P.Q.;Lemay François C.A.Q.-É.F.L.;Paradis Pierre P.L.Q./Q.L.P.;Pépin Nicolas O.N. - P.I.Q.;Van Caloen Benoit Q.S.;B.V.;B.R.;
129;Brome-Missisquoi;2014-04-07;G;Brigham, m;1;;125;288;31;65;74;0;10;180;1;
129;Brome-Missisquoi;2014-04-07;G;Brigham, m;1;;126;342;35;88;74;0;25;222;5;
129;Brome-Missisquoi;2014-04-07;G;Brigham, m;1;;127;306;43;74;37;1;19;174;2;
129;Brome-Missisquoi;2014-04-07;G;Brigham, m;1;;128;291;34;67;50;1;10;162;1;
129;Brome-Missisquoi;2014-04-07;G;Brigham, m;1;;129;308;21;64;44;1;12;142;0;
129;Brome-Missisquoi;2014-04-07;G;Brigham, m;1;;130;284;27;52;69;0;12;160;1;
129;Brome-Missisquoi;2014-04-07;G;Saint-Alphonse-de-Granby, m;1;;131;294;36;70;67;2;6;181;3;
129;Brome-Missisquoi;2014-04-07;G;Saint-Alphonse-de-Granby, m;1;;132;325;53;98;39;3;5;198;3;
129;Brome-Missisquoi;2014-04-07;G;Saint-Alphonse-de-Granby, m;1;;133;335;58;76;49;0;18;201;8;
129;Brome-Missisquoi;2014-04-07;G;Saint-Alphonse-de-Granby, m;1;;134;315;30;96;55;1;9;191;2;
129;Brome-Missisquoi;2014-04-07;G;Saint-Alphonse-de-Granby, m;1;;135;383;64;101;62;3;26;256;8;
129;Brome-Missisquoi;2014-04-07;G;Saint-Alphonse-de-Granby, m;1;;136;324;47;90;50;2;12;201;7;
129;Brome-Missisquoi;2014-04-07;G;Saint-Alphonse-de-Granby, m;1;;137;346;58;84;50;3;6;201;4;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;138;312;29;17;71;0;32;149;2;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;139;311;11;21;79;0;26;137;1;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;140;350;18;14;56;0;7;95;2;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;141;326;18;16;98;1;31;164;3;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;142;316;16;32;79;0;23;150;0;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;143;298;12;24;70;0;15;121;0;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;144;308;21;15;87;2;16;141;0;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;145;351;41;25;65;0;26;157;2;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;146;336;20;27;82;0;21;150;4;
129;Brome-Missisquoi;2014-04-07;G;Sutton, v;1;;147;344;39;10;87;0;42;178;1;
129;Brome-Missisquoi;2014-04-07;G;Abercorn, vl;1;;148;262;32;27;90;0;13;162;1;
129;Brome-Missisquoi;2014-04-07;G;Bolton-Ouest, m;1;;149;301;10;14;105;0;8;137;1;
129;Brome-Missisquoi;2014-04-07;G;Bolton-Ouest, m;1;;150;254;28;21;103;0;15;167;2;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;1;;151;382;52;56;26;0;6;140;1;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;1;;152;300;53;65;25;1;7;151;5;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;1;;153;363;34;109;45;3;12;203;3;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;1;;154;287;42;73;33;0;9;157;2;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;1;;155;329;29;105;33;2;14;183;0;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;1;;156;323;36;62;43;1;9;151;3;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;1;;157;314;45;70;38;1;11;165;2;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;158;329;29;65;36;1;9;140;10;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;159;391;52;77;51;0;16;196;2;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;160;370;50;76;45;0;19;190;3;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;161;380;54;72;57;0;11;194;4;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;162;320;38;71;28;2;14;153;1;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;163;316;42;58;38;0;14;152;1;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;164;294;32;47;62;0;8;149;1;
129;Brome-Missisquoi;2014-04-07;G;Shefford, ct;2;;165;324;21;39;56;3;5;124;5;
