Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Jean-Yves Q.S.;Latrémouille Ian C.A.Q.-É.F.L.;Marois Pauline P.Q.;Mélançon Chantal É.A.P. - P.C.Q.;Simard Caroline P.L.Q./Q.L.P.;Thériault François O.N. - P.I.Q.;B.V.;B.R.;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;105;343;11;71;44;0;82;1;209;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;106;325;17;93;51;1;63;1;226;6;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;107;326;7;55;50;3;54;1;170;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;108;326;7;88;36;0;59;0;190;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;109;341;8;70;45;3;74;1;201;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Château-Richer, v;1;;110;309;5;60;40;2;55;1;163;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;111;346;7;93;37;2;52;2;193;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;112;350;10;102;33;4;64;2;215;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;113;357;10;89;31;3;61;0;194;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;114;387;3;89;32;1;90;2;217;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;115;351;12;59;30;9;82;1;193;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;116;343;11;60;43;7;69;4;194;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;117;345;11;78;35;4;92;1;221;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Ange-Gardien, m;1;;118;366;9;101;22;2;75;4;213;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;119;376;5;72;30;2;58;2;169;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;120;348;9;58;50;0;38;3;158;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Boischatel, m;1;;121;374;8;81;44;1;56;0;190;0;
