Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Bergeron Dany É.A.P. - P.C.Q.;Côté Patrick O.N. - P.I.Q.;Dallaire Patrice P.Q.;Hamad Sam P.L.Q./Q.L.P.;Minville Pascal Q.S.;B.V.;B.R.;
653;Louis-Hébert;2014-04-07;G;Québec, v;15;;83;383;66;2;2;31;88;9;198;0;
653;Louis-Hébert;2014-04-07;G;Québec, v;15;;84;380;58;0;4;41;106;13;222;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;15;;85;372;58;1;1;43;82;20;205;6;
653;Louis-Hébert;2014-04-07;G;Québec, v;16;;86;363;51;2;1;33;82;8;177;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;16;;87;359;39;0;0;24;76;9;148;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;16;;88;357;47;0;6;33;65;17;168;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;16;;89;355;56;3;4;33;67;15;178;0;
653;Louis-Hébert;2014-04-07;G;Québec, v;16;;90;363;46;2;4;44;74;18;188;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;17;;91;359;52;2;1;32;59;12;158;5;
653;Louis-Hébert;2014-04-07;G;Québec, v;17;;92;354;43;0;4;33;60;18;158;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;17;;93;351;28;0;1;31;49;15;124;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;17;;94;359;41;2;2;29;90;12;176;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;17;;95;351;44;0;2;50;62;21;179;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;17;;96;353;50;0;1;28;74;12;165;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;18;;97;368;47;0;3;54;76;12;192;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;18;;98;382;43;1;6;38;88;19;195;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;18;;99;514;72;2;0;52;86;9;221;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;18;;100;378;50;4;2;35;95;17;203;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;18;;101;586;38;1;0;42;81;12;174;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;18;;102;379;36;2;2;44;75;8;167;2;
