Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Bellefeuille Julie É.A.P. - P.C.Q.;de Repentigny Yves P.Éq.;Haliburton Victoria P.V.Q./G.P.Q.;Larocque Sylvain Ind;Leclair Guy P.Q.;Lemieux Lyse P.L.Q./Q.L.P.;Moreau Claude C.A.Q.-É.F.L.;Rousseau Florence O.N. - P.I.Q.;St-Onge Pierre-Paul Q.S.;B.V.;B.R.;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;93;333;2;0;4;0;63;49;58;2;10;188;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;13;;94;424;2;0;0;0;72;45;67;1;15;202;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;95;326;3;0;2;0;63;36;54;0;12;170;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;96;325;0;0;2;0;61;35;22;3;22;145;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;97;304;2;0;3;1;49;26;42;1;5;129;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;98;330;3;1;0;0;54;44;42;3;10;157;6;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;99;356;6;1;2;0;53;27;36;0;13;138;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;100;324;0;0;1;0;42;23;36;0;19;121;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;101;336;1;0;2;1;53;26;43;1;16;143;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;102;327;1;1;2;1;62;40;47;0;14;168;6;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;103A;243;0;1;0;0;29;18;24;0;9;81;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;14;;103B;220;2;0;1;0;45;14;43;0;6;111;0;
153;Beauharnois;2014-04-07;G;Beauharnois, v;1;;104;309;1;1;2;1;75;38;38;0;13;169;2;
153;Beauharnois;2014-04-07;G;Beauharnois, v;1;;105;297;1;0;4;0;71;24;55;1;16;172;6;
153;Beauharnois;2014-04-07;G;Beauharnois, v;1;;106;319;1;0;0;0;96;29;47;0;18;191;7;
153;Beauharnois;2014-04-07;G;Beauharnois, v;1;;107;310;4;1;0;0;68;58;48;0;12;191;1;
