Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cousineau Claude P.Q.;Dubé Patrick P.N.;Leblond Isabelle P.L.Q./Q.L.P.;Massicotte Diane O.N. - P.I.Q.;Mayer Lucie Q.S.;Milot Robert C.A.Q.-É.F.L.;Roy Mario Ind;B.V.;B.R.;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;143;346;77;0;36;0;18;46;2;179;3;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;144;320;52;3;35;1;13;54;1;159;6;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;145;353;52;0;48;4;15;52;0;171;0;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;146;336;41;0;46;1;12;68;1;169;0;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;147;329;49;2;31;0;20;69;0;171;3;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;1;;148;410;62;2;31;1;19;68;2;185;5;
525;Bertrand;2014-04-07;G;Sainte-Anne-des-Lacs, p;2;Regr. BVO-146;149;0;0;0;0;0;0;0;0;0;0;
525;Bertrand;2014-04-07;G;Prévost, v;1;;150;382;64;0;45;0;22;86;0;217;2;
525;Bertrand;2014-04-07;G;Prévost, v;1;;151;374;53;1;34;1;10;59;0;158;7;
525;Bertrand;2014-04-07;G;Prévost, v;1;;152;330;56;4;32;2;18;60;0;172;4;
525;Bertrand;2014-04-07;G;Prévost, v;1;;153;351;57;2;35;1;16;59;2;172;2;
525;Bertrand;2014-04-07;G;Prévost, v;1;;154;361;61;1;32;0;14;47;0;155;3;
525;Bertrand;2014-04-07;G;Prévost, v;1;;155;369;69;2;27;0;27;73;1;199;4;
525;Bertrand;2014-04-07;G;Prévost, v;1;;156;332;59;1;17;0;16;47;0;140;5;
525;Bertrand;2014-04-07;G;Prévost, v;2;;157;350;87;4;29;1;25;53;0;199;2;
525;Bertrand;2014-04-07;G;Prévost, v;2;;158;369;57;2;24;1;10;51;1;146;1;
525;Bertrand;2014-04-07;G;Prévost, v;2;;159;341;35;1;30;0;19;84;0;169;1;
525;Bertrand;2014-04-07;G;Prévost, v;2;;160;309;62;1;24;1;22;64;1;175;3;
525;Bertrand;2014-04-07;G;Prévost, v;2;;161;309;64;0;24;1;19;39;0;147;6;
525;Bertrand;2014-04-07;G;Prévost, v;2;;162;313;46;5;30;2;4;68;0;155;2;
525;Bertrand;2014-04-07;G;Prévost, v;2;;163;357;76;0;54;3;10;69;0;212;3;
525;Bertrand;2014-04-07;G;Prévost, v;2;;164;320;51;0;25;1;25;67;0;169;2;
525;Bertrand;2014-04-07;G;Prévost, v;2;;165A;268;39;1;28;0;8;58;1;135;5;
