Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Nadia Q.S.;Cadieux Denis M.P.Q.;de la Sablonnière Luc C.A.Q.-É.F.L.;Grégoire-Gauthier Annie O.N. - P.I.Q.;Leblanc Rodrigue Ind;Lessard Laurent P.L.Q./Q.L.P.;Mathieu Kaven P.Q.;Rancourt Sylvain É.A.P. - P.C.Q.;B.V.;B.R.;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Narcisse-de-Beaurivage, p;1;;93;281;7;0;84;1;2;102;14;4;214;0;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Gilles, p;1;;94;459;16;0;135;1;0;106;25;6;289;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Gilles, p;1;;95;352;8;2;103;1;3;87;26;9;239;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Gilles, p;1;;96;288;3;0;72;0;0;101;31;1;208;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Gilles, p;1;;97;408;7;0;139;3;0;115;15;10;289;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Gilles, p;1;;98;344;9;1;101;1;0;99;16;3;230;2;
289;Lotbinière-Frontenac;2014-04-07;G;Dosquet, m;1;;99;370;8;1;90;1;1;109;19;5;234;9;
289;Lotbinière-Frontenac;2014-04-07;G;Dosquet, m;1;;100;362;6;1;79;1;3;90;22;10;212;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Flavien, m;1;;101;386;3;2;82;3;1;84;16;5;196;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Flavien, m;1;;102;390;10;1;82;1;2;84;20;7;207;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Flavien, m;1;;103A;214;8;0;49;0;0;59;12;0;128;0;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Flavien, m;1;;103B;231;6;0;62;1;1;49;15;1;135;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;104A;258;7;0;64;1;1;56;13;6;148;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;104B;180;2;0;43;0;0;49;16;13;123;1;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;105;349;5;0;98;1;0;99;23;2;228;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;106;385;4;0;102;1;0;93;24;4;228;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;107;373;10;0;99;0;1;118;18;4;250;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;108A;267;4;1;63;1;2;71;15;1;158;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;108B;259;9;0;87;0;0;76;7;1;180;0;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;109;352;6;0;80;0;4;113;17;3;223;7;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;110;381;8;0;84;1;1;122;31;3;250;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Agapit, m;1;;111;361;7;0;101;0;0;100;21;4;233;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;112;376;8;0;108;0;3;65;22;2;208;4;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;113;369;10;0;99;2;0;82;38;1;232;3;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;114;391;4;0;119;2;2;80;11;5;223;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;115;416;1;0;105;4;1;101;18;3;233;2;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Apollinaire, m;1;;116;359;5;0;63;4;0;71;18;1;162;10;
