Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Cloutier Benoit É.A.P. - P.C.Q.;Gagné Dave P.S.P.;Lévesque-Morin Alexis O.N. - P.I.Q.;Paré Catherine P.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;108;324;21;1;2;0;25;111;64;224;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;109;324;19;2;1;0;29;77;53;181;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;110;312;14;2;0;0;25;96;32;169;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;111;283;8;1;0;1;25;67;56;158;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;112;308;17;5;3;0;24;84;44;177;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;10;;113;321;10;2;1;3;20;105;46;187;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;11;;114;307;11;6;1;1;14;62;36;131;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;11;;115;324;8;0;2;0;32;66;42;150;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;11;;116;306;7;2;1;2;13;76;40;141;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;11;;117;371;20;4;6;1;14;73;36;154;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;11;;118;359;20;2;3;2;22;93;36;178;5;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;119;343;7;5;0;2;16;132;58;220;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;120;332;4;2;1;2;19;108;62;198;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;121;338;10;2;1;1;20;107;40;181;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;122;300;9;1;2;0;22;70;47;151;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;123;340;11;1;0;1;24;99;55;191;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;124;333;7;1;1;1;13;127;59;209;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;125;337;9;2;2;0;26;114;60;213;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;126;295;5;6;1;0;26;82;16;136;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;127;306;6;0;3;3;23;77;58;170;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;128;299;8;3;1;2;29;89;39;171;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;129;309;5;2;0;0;18;69;54;148;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;12;;130;316;10;1;2;0;27;76;49;165;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;131;301;8;1;0;1;16;100;46;172;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;13;;132;306;7;1;1;3;16;97;30;155;0;
