Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charbonneau Patrice C.A.Q.-É.F.L.;Dubois Armand P.L.Q./Q.L.P.;Lemay-Thivierge Vincent Q.S.;Morin Bruno É.A.P. - P.C.Q.;Péladeau Pierre Karl P.Q.;Trottier-Kavanagh Mathieu O.N. - P.I.Q.;B.V.;B.R.;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;148;311;65;19;17;0;54;0;155;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;149;324;50;30;24;1;65;1;171;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;150;350;47;29;17;0;72;1;166;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;151;303;53;32;12;0;53;0;150;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;152;313;61;20;23;2;75;0;181;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;153;313;33;24;20;0;51;0;128;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;154;330;55;23;17;0;64;1;160;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;155;333;59;9;20;1;51;0;140;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;21;;156;336;60;33;27;1;70;1;192;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;22;;157;290;38;30;14;1;35;2;120;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;22;;158;280;42;28;14;0;62;1;147;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;22;;159;277;64;25;16;1;43;0;149;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;22;;160;265;49;29;17;0;60;0;155;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;22;;161;262;66;18;17;0;51;0;152;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;22;;162;285;55;19;17;0;49;2;142;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;23;;163;279;63;15;23;0;45;1;147;5;
