Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Jonathan O.N. - P.I.Q.;Gagné Christine P.N.;Iraca Alexandre P.L.Q./Q.L.P.;Langelier René C.A.Q.-É.F.L.;Primeau Jean-Francois P.Q.;Sarazin Marc Q.S.;B.V.;B.R.;
553;Papineau;2014-04-07;G;Thurso, v;1;;133;279;3;0;42;23;28;8;104;3;
553;Papineau;2014-04-07;G;Thurso, v;1;;134;274;3;2;43;11;37;6;102;3;
553;Papineau;2014-04-07;G;Thurso, v;1;;135;270;2;1;49;10;36;6;104;1;
553;Papineau;2014-04-07;G;Thurso, v;1;;136;312;1;0;60;21;49;14;145;1;
553;Papineau;2014-04-07;G;Thurso, v;1;;137;393;2;0;62;25;51;7;147;3;
553;Papineau;2014-04-07;G;Lochaber, ct;1;;138;339;1;4;83;34;45;13;180;1;
553;Papineau;2014-04-07;G;Saint-Sixte, m;1;;139;345;8;4;83;33;71;13;212;5;
553;Papineau;2014-04-07;G;Plaisance, m;1;;140;313;2;5;46;38;74;13;178;3;
553;Papineau;2014-04-07;G;Plaisance, m;1;;141;260;4;5;68;31;44;12;164;3;
553;Papineau;2014-04-07;G;Plaisance, m;1;;142;269;0;6;66;35;37;18;162;2;
553;Papineau;2014-04-07;G;Papineauville, m;1;;143;304;2;1;57;30;47;17;154;6;
553;Papineau;2014-04-07;G;Papineauville, m;1;;144;295;1;0;45;31;58;6;141;3;
553;Papineau;2014-04-07;G;Papineauville, m;1;;145;312;6;3;49;30;59;8;155;3;
553;Papineau;2014-04-07;G;Papineauville, m;1;;146;268;2;2;49;31;24;14;122;0;
553;Papineau;2014-04-07;G;Papineauville, m;1;;147;308;6;3;39;21;52;9;130;1;
553;Papineau;2014-04-07;G;Papineauville, m;1;;148;294;3;2;52;27;38;14;136;0;
553;Papineau;2014-04-07;G;Montebello, m;1;;149;259;0;0;56;14;37;7;114;2;
553;Papineau;2014-04-07;G;Montebello, m;1;;150;262;3;2;63;37;56;11;172;3;
553;Papineau;2014-04-07;G;Montebello, m;1;;151;286;3;5;78;36;43;10;175;2;
553;Papineau;2014-04-07;G;Notre-Dame-de-Bonsecours, m;1;;152;210;1;1;50;24;30;9;115;1;
553;Papineau;2014-04-07;G;Fassett, m;1;;153;177;2;4;44;31;24;9;114;1;
553;Papineau;2014-04-07;G;Fassett, m;1;;154;196;0;2;42;34;28;7;113;3;
553;Papineau;2014-04-07;G;Boileau, m;1;;155;266;1;0;46;28;42;6;123;0;
553;Papineau;2014-04-07;G;Lac-des-Plages, m;1;;156;182;0;5;33;24;37;7;106;2;
553;Papineau;2014-04-07;G;Lac-des-Plages, m;1;;157;209;1;0;27;23;32;6;89;1;
553;Papineau;2014-04-07;G;Saint-Émile-de-Suffolk, m;1;;158;226;2;1;31;26;37;5;102;2;
553;Papineau;2014-04-07;G;Saint-Émile-de-Suffolk, m;1;;159;192;0;1;34;12;38;1;86;2;
553;Papineau;2014-04-07;G;Namur, m;1;;160;243;1;0;52;24;21;5;103;1;
553;Papineau;2014-04-07;G;Namur, m;1;;161;236;1;0;45;28;15;3;92;2;
553;Papineau;2014-04-07;G;Notre-Dame-de-la-Paix, m;1;;162;257;3;0;44;21;50;14;132;2;
553;Papineau;2014-04-07;G;Notre-Dame-de-la-Paix, m;1;;163;279;2;3;52;53;43;7;160;4;
553;Papineau;2014-04-07;G;Saint-André-Avellin, m;1;;164;295;5;0;63;38;42;4;152;2;
553;Papineau;2014-04-07;G;Saint-André-Avellin, m;1;;165;288;1;4;51;35;32;8;131;3;
553;Papineau;2014-04-07;G;Saint-André-Avellin, m;1;;166;292;4;0;45;18;48;16;131;2;
