Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dean Marc P.Q.;Fillion Mathieu O.N. - P.I.Q.;Huot Patrick P.L.Q./Q.L.P.;Lévesque Sylvain C.A.Q.-É.F.L.;Martin Jean-Alex É.A.P. - P.C.Q.;Voisine Monique Q.S.;B.V.;B.R.;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;91;;149;311;16;0;58;45;1;7;127;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;150;308;13;1;42;53;2;11;122;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;151;319;19;0;46;62;1;7;135;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;152;339;20;2;31;71;2;6;132;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;153;511;21;1;34;36;2;7;101;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;154;300;31;2;47;58;2;6;146;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;155A;308;13;0;34;33;3;2;85;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;155B;196;12;1;32;30;0;3;78;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;156;302;26;3;39;39;0;7;114;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;157;281;16;2;45;54;1;11;129;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;158;310;19;0;47;48;1;6;121;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;159;299;18;0;33;41;0;4;96;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;160;306;25;3;40;52;1;8;129;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;161;441;18;1;65;41;1;11;137;12;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;162A;286;12;0;43;47;0;4;106;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;162B;221;13;6;48;32;5;2;106;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;163;187;8;1;12;16;0;4;41;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;164;345;20;1;41;60;0;6;128;7;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;92;;165;293;12;0;41;41;2;3;99;6;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;93;;166;427;14;1;53;41;2;15;126;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;93;;167;300;27;0;44;42;2;5;120;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;93;;168;389;50;1;63;45;1;14;174;0;
