Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen Jamie C.A.Q.-É.F.L.;Comtois-Lussier Michaël P.Q.;Faour Ali Q.S.;Leitao Carlos J P.L.Q./Q.L.P.;Martinova-Croteau Viviane O.N. - P.I.Q.;Mireault Mathieu P.V.Q./G.P.Q.;Popert Patricia É.A.P. - P.C.Q.;B.V.;B.R.;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;20;;48;403;24;9;8;185;1;5;0;232;1;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;49;379;19;5;2;197;0;1;2;226;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;50;400;14;8;3;213;0;2;0;240;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;51;385;6;6;2;239;0;1;1;255;1;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;52;385;7;2;0;222;0;5;0;236;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;53;391;19;5;0;192;0;3;0;219;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;54;404;11;7;5;182;0;4;2;211;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;55;375;15;3;3;210;2;5;0;238;1;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;1;;56;378;9;9;3;198;0;5;0;224;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;2;;57;373;9;7;0;204;0;3;2;225;3;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;2;;58;360;19;6;11;179;0;3;0;218;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;2;;59;367;16;8;2;190;1;3;1;221;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;2;;60;371;6;5;2;197;0;3;0;213;2;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;2;;61;349;8;4;3;144;0;4;0;163;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;2;;62;376;15;8;5;199;0;2;1;230;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;;63;382;7;3;3;195;0;3;0;211;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;;64;376;17;4;1;193;0;11;0;226;1;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;;65;496;9;4;1;191;0;1;1;207;1;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;Regr. BVO-65;66;0;0;0;0;0;0;0;0;0;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;Regr. BVO-116;67;0;0;0;0;0;0;0;0;0;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;Regr. BVO-116;68;0;0;0;0;0;0;0;0;0;0;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;;69;373;6;0;1;198;0;1;1;207;1;
413;Robert-Baldwin;2014-04-07;G;Dollard-Des Ormeaux, v;3;;70;357;9;2;2;220;0;2;0;235;1;
